|Français / French - fr_fr
change_plants|Changer les plantes
change_plants_variant|Changer la variante
|
invalid_structure|Tu ne peux pas détruire ce bâtiment car cela résulterait en une structure invalide
destroy|Détruire
really_destroy|Vraiment détruire ?
destroy_this_building|Détruire ce bâtiment
destroy_tip|Conseil : Tu peux aussi Supprimer+Clic sur les bâtiments pour les détruire rapidement
|
citizen|Citoyen
|
welcome_back_teleporter_warning|Content de te revoir dans ta ville !\nNotes que les téléporteurs ont maintenant un coût d'opération. Tu peux remplacer certains d'entre eux pour réduire ce coût. Tu peux aussi désactiver temporairement ton réseau de téléportation si besoin ; appuies juste sur n'importe quel téléporteur, puis [tap] pour Désactiver tous les téléporteurs.
update_notice|Note de mise à jour
|
one_day|un jour
n_days|[0] jours
one_hour|une heure
n_hours|[0] heures
and|et
one_minute|une minute
n_minutes|[0] minutes
|
game_load_error|Quelque chose a mal tourné lors du chargement du contenu nécessaire pour ce scénario ! Merci de vérifier ta connexion internet et de tester à nouveau.
game_import_error|Ce fichier n'a pas l'air d'être un fichier de sauvegarde ! Est-tu sûr s'avoir sélectionné le bon fichier ?
game_load_save_error|Malheuresement, quelque chose a mal tourné lors du chargement du fichier de sauvegarde.
game_load_save_error_version|Désolé, nous n'avons pas pu charger ce fichier de sauvegarde ! Il paraît qu'il a été créé avec une version plus récente du jeu.
tap_to_continue|Appuies pour continuer
save_slot_import|Dans quel disque de sauvegarde veux-tu importer ce fichier ?
|
close|Fermer
|
mute_music|Couper la musique
unmute_music|Activer la musique
mute_sfx|Couper les effets sonores
unmute_sfx|Activer les effets sonores
full_screen|Plein écran
advanced_settings|Paramètres avancés
|
follow_me_twitter|Suis-moi @FlorianStrien sur Twitter et reçois les dernières nouvelles sur les mises à jour et nouveaux jeux.
mailing_list_info|Je t'enverrai des faits et notes sympas sur The Final Earth 2, plus des infos sur mes prochains jeux et mises à jour !
mailing_list_header|S'abonner à ma liste d'envoi !
join_discord|Rejoindre mon discord !
privacy|Confidentialité
wishlist_full|Ajoutes la version complète à ta liste de souhaits !
upgrade_premium|Passer à Premium !
back_to_title|Retour au titre
|
click_here_to_play|[Tap] Ici pour jouer
played_before|Déjà joué ?
continue|Continuer
new_city|Nouvelle ville
new_city_explain|Commencer un scénario ou du Jeu Libre
load_city|Charger une ville
which_city_to_load|Quelle ville veux-tu charger ?
play_other|Jouer à mes autres jeux !
play_more_games|Jouer à plus de jeux
like_us|Aime nous !
get_premium|Devenir Premium
exit|Sortir
import|Importer
save_screenshot|Enregistrer la capture d'écran
view_credits|Voir les crédits
|
save_slot_choice|Quel disque de sauvegarde veux-tu utiliser ?
|
no_saves_warning|"Attention ! Malheuresement, aucune méthode de sauvegarde n'a été trouvée sur ton navigateur. Tu peux toujours jouer, mais les sauvegardes seront perdues lorsque tu quitteras le jeu.\n\nD'habitude la cause de cette erreur est liée aux cookies désactivés ou des cookiers tiers. Ce jeu utilise une méthode similaire aux cookies pour enregistrer tes villes. Les cookies tiers peuvent être nécessaires car le jeu fonctionne souvent sur un autre domaine que le portail de jeux en ligne.\n\nEssaies d'activer les cookies. Puis, actualises la page. Sinon, tu peux toujours exporter tes villes à partir du menu puis ""Les importer plus tard""."
|
building_prevented_strange_force|Une force étrange t'empêche de construire ici.
|
resident_workers_of|Ouvriers résidant à [0]
none|Aucun
resident_workers|[0]/[1] ouvriers résidants
quality|Qualité : [0]
capacity|Capacité : [0]
|
residents_of|Résidents de [0]
residents|[0]/[1] résidents
no_residents|Aucun résident
there_are_no_houses|Il n'y a pas de maisons !
houses_exactly_enough|Il y a pile assez de maisons pour tes citoyens.
house_n_cap_remaining|Il reste une capacité d'accueil de [0]
homeless_one|Il y a une personne sans abri.
homeless_n|Il y a [0] personnes sans abris.
|
students|[0]/[1] étudiants
|
beacon_credits|Le Beacon a été créé avec Annabelle, qui a gagné le premier concours de construction sur le Discord !
cannot_afford_hippie_bride|Tu ne peux pas soudoyer les Hippies pour l'instant !
bribe_hippies_option|... ou soudoies les Hippies et saute cette /ntâche pour 10.000 nourriture
thank_you|Merci
thank_you_ex|Merci !
|
peace_out|Salut !
flower_buds|Fais fleurir les bourgeons:\nVérifies que les 6 emplois soient pris.
hippie_mission_0|Lien floral :\nConstruis au moins deux téléporteurs, chacun entourés par des Jardins Botaniques
