|VN - Vietnamese
change_plants|Đổi Cây
change_plants_variant|Đổi Kiểu Cây
|
invalid_structure|Bạn không thể phá hủy công trình này vì nó sẽ tạo ra một tòa nhà không hợp lệ.
destroy|Phá Hủy
really_destroy|Thật sự Phá hủy?
destroy_this_building|Phá hủy Công trình này
destroy_tip|Mẹo: Bạn có thể dùng Del+Click chuột trên một công trình để phá hủy nhanh.
|
citizen|người dân
|
welcome_back_teleporter_warning|Chào mừng bạn đã trở lại thành phố!\nXin hãy lưu ý rằng Máy Dịch Chuyển giờ đây đã có phí hoạt động. Bạn có thể sẽ muốn thay thế một số Máy Dịch Chuyển để giảm chi phí. Bạn cũng có thể cho dừng mạng lưới dịch chuyển tạm thời; chỉ cần [tap] lên một Máy Dịch Chuyển, rồi [tap] Tắt Tất cả Máy dịch chuyển.
update_notice|Thông báo Cập nhật
|
one_day|một ngày
n_days|[0] ngày
one_hour|một giờ
n_hours|[0] giờ
and|và
one_minute|một phút
n_minutes|[0] phút
|
game_load_error|Một vài thứ đã bị lỗi khi cố gắng tải tệp cần thiết cho viễn cảnh này! Hãy kiểm tra kết nối mạng của bạn và thử lại.
game_import_error|Tệp này không giống tệp lưu trữ cho lắm! Bạn có chắc là đã chọn đúng tệp chưa?
game_load_save_error|Thật đáng tiếc, một số thứ đã bị lỗi khi cố gắng tải tệp lưu trữ của bạn.
game_load_save_error_version|Xin lỗi, chúng tôi không thể tải tệp lưu trữ! Có vẻ như nó được tạo trong phiên bản mới hơn của trò chơi.
tap_to_continue|Nhấn để tiếp tục
save_slot_import|Bạn muốn nhập bản lưu vào ổ nào?
|
close|Đóng
|
mute_music|Tắt Nhạc
unmute_music|Bật Nhạc
mute_sfx|Tắt Hiệu ứng Âm thanh
unmute_sfx|Bật Hiệu ứng Âm thanh
full_screen|Toàn Màn Hình
advanced_settings|Cài đặt Nâng cao
|
follow_me_twitter|Theo dõi tôi trên Twitter @FlorianStrien để nhận được thông báo bản cập nhật mới nhất và game mới!
mailing_list_info|Tôi sẽ gửi bạn những thông tin và sự thật thú vị của The Final Earth 2, cộng thêm thông tin về bản ra mắt tiếp theo!
mailing_list_header|Đăng kí mailing list!
join_discord|Tham gia Discord!
privacy|Quyền Riêng Tư
wishlist_full|Danh sách ước Bản đầy đủ!
upgrade_premium|Nâng cấp lên Premium!
back_to_title|Về lại Trang chính
|
click_here_to_play|[Tap] vào Đây để Chơi
played_before|Đã Từng Chơi?
continue|Tiếp Tục
new_city|Thành Phố Mới
new_city_explain|Bắt đầu với viễn cành bất kỳ hoặc Chơi Tự Do
load_city|Tải Thành Phố
which_city_to_load|Bạn muốn tải thành phố nào?
play_other|Chơi các game khác của tôi!
play_more_games|Thêm game
like_us|Thích chúng tôi!
get_premium|Nhận Premium
exit|Thoát
import|Nhập
save_screenshot|Lưu Ảnh chụp màn hình
view_credits|Mở Credit
|
save_slot_choice|Bạn muốn dùng ổ lưu nào?
|
no_saves_warning|Cảnh báo! Thật đáng tiếc, không có cách nào để lưu trong trình duyệt của bạn. Bạn vẫn có thể chơi, nhưng bản lưu sẽ bị mất khi bạn thoát trò chơi. \n\nĐiều này thường xảy ra khi tắt cookie hoặc cookie bên thứ ba. Trò chơi sử dụng một cách thức gần giống với cookie để lưu thành phố của bạn. Cookie bên thứ ba có thể yêu cầu trò chơi chạy liên tục trên miền khác thay vì trên cổng web trò chơi. \n\nHãy thử bật cookie. Sau đó, tải lại trang. Nếu không, bạn có thể Xuất thành phố từ Menu trò chơi và Nhập nó lại khi chơi.
|
building_prevented_strange_force|Một lực kỳ lạ đã ngăn bạn xây dựng ở đây.
|
resident_workers_of|[0] công nhân có nơi ở
none|Không
resident_workers|[0]/[1] công nhân có nơi ở
quality|Chất lượng: [0]
capacity|Sức chứa: [0]
|
residents_of|[0] người có nơi ở
residents|[0]/[1] hộ dân
no_residents|Không người có nơi ở
there_are_no_houses|Không có nơi ở!
houses_exactly_enough|Vừa đủ nơi ở cho người dân của bạn.
house_n_cap_remaining|Còn [0] nơi ở chưa sử dụng.
homeless_one|Có một người vô gia cư
homeless_n|Có [0] người vô gia cư
|
students|[0]/[1] học sinh
|
beacon_credits|Beacon đã thiết kế cùng với Annabelle, người đã chiến thắng cuộc thi xây dựng đầu tiên trên Discord!
cannot_afford_hippie_bride|Bạn không có đủ để hối lộ Hippie!
bribe_hippies_option|... hoặc hối lộ Hippie và bỏ qua nhiệm vụ\nnày với 10,000 thức ăn
thank_you|Cảm ơn bạn
thank_you_ex|Cảm ơn bạn!
current_task|Nhiệm vụ hiện tại
peace_out|Tạm biệt nhớ!
flower_buds|Mở Bầu hoa: \nHãy chắc rằng đã có đủ 6 người làm việc.
hippie_mission_0|Nối Hoa: \nXây ít nhất 2 máy dịch chuyển được bao quanh bởi Vườn Bách Thảo.
hippie_mission_1|Bữa tiệc Hoa: \nXây 3 Nhà hàng Hoa.
hippie_mission_2|Thiên nhiên Thật sự: Có ít nhất một khu rừng được bảo vệ.
hippie_mission_3|Hoàn hợp Cùng nhau: \nXây 20 Nhà Cộng Đồng.
hippie_mission_4|Thực phẩm Organic: \nXây 30 Vườn Xanh
hippie_mission_5|Đừng bỏ phí: \nXây 9 Nhà Xử lý Phụ phẩm.
hippie_mission_6|Xã hội Yên bình: \nNguyên cứu Đời sống Xã hội tại Trung tâm Nguyên cứu Đời sống.
hippie_mission_7|Làm Thành phố Hát: \nXây Trung tâm Lễ hội.
hippie_mission|Nhiệm vụ Hippie
|
change_building_color|Đổi Màu
change_variant|Đổi Kiểu
|
beans_grown|Đậu đã phát triển [0]%.
cacao_left|Còn [0] ca cao để thu hoạch.
chocolate_production|[0] ca cao dùng để làm [1] thanh sô-cô-la.
|
ignore_unhappy_citizens|Phớt lờ cảnh báo công dân bất hạnh
city_name|Tên Thành phố:
unnamed_city|Chưa đặt tên
give_city_name|Đặt tên cho thành phố của bạn!
change_city_name|Đổi Tên Thành phố
|
computer_chip_production|[0] kim loại tinh luyện dùng để làm [1] chip máy tính.
knowledge_gathered|Đã thu thập [0] kiến thức.
knowledge_generated|Đã tạo [0] kiến thức.
knowledge_production_from_machine_parts|[0] bộ phận máy dùng để nhận [1] kiến thức.
wood_produced|Đã sản xuất [0] gỗ.
producing_by_products_for_n_farms|[0] trang trại đang xử lí sản phẩm phụ.
producing_by_products_for_1_farm|1 trang trại đang xử lí sản phẩm phụ.
refinded_metals_made|[0] đá dùng để làm [1] kim loại tinh luyện.
knowledge_gathered_per_day|Đã thu thập [0] kiến thức mỗi ngày.
knowledge_gathered_so_far|Đã thu thập [0] kiến thức cho đến bây giờ.
wood_used_for_machine_parts|[0] gỗ dùng để làm [1] bộ phận máy.
|
left_plot|Ô bên trái:
top_right_plot|Ô trên cùng bên phải:
bottom_right_plot|Ô dưới cùng bên phải:
|
current_task_looking|Nhiệm vụ hiện tại: Tìm kiếm tàn tích.
current_task_exploring|Nhiệm vụ hiện tại: Khám phá tàn tích.
current_task_investigating|Nhiệm vụ hiện tại: Kiểm tra vật tìm được.
|
crops_grow_pct|Cây trồng đã phát triển [0]%.
food_left_to_harvest|Còn [0] nông sản chưa thu hoạch.
old_crops_cleaned|Dọn dẹp đất trồng [0]%.
resources_produced|Đã sản xuất [0] tài nguyên.
|
current_festival|Lễ hội Hiện tại
planned_festival|Lễ hội đã lên Kế hoạch
preparing|Đang chuẩn bị...
assign_workers_to_prepare|Chỉ định công nhân chuẩn bị cho lễ hội mới!
assign_more_to_speed_up|Chỉ định thêm nhiều công nhân để tăng tốc!
organize_a_festival|Tổ chức Lễ hội
cant_organize|Bạn không thể tổ chức Lễ hội Âm nhạc ngay lúc này!
music_festival|Lễ hội Âm nhạc
music_festival_help|Một buổi tiệc khổng lồ, thú vị kéo dài một ngày: Làm tăng hạnh phúc cho người dân trong một tuần. Chỉ số hạnh phúc có thể vượt quá 100.
|
teleported_from|Dịch chuyển từ [0] lần.
teleported_to|Dịch chuyển đến [0] lần.
|
mirror|Gương
change_interior|Đổi Nội thất
|
graphene_sheets_production|[0] kiến thức và [1] đá dùng để làm [2] tấm graphen.
graphene_sheets_made|[0] đá dùng để tạo [1] tấm graphen.
|
hackers_done|Chúng tôi sẽ tiếp tục hack!
hackers_gather|Tập hợp các Hacker:\nHãy chắc rằng đã có đủ 6 người làm việc.
hacker_mission_0|Thu thập Kiến thức:\nXây 20 Phòng thí nghiệm.
hacker_mission_1|Lan tỏa Kiến thức:\nXây 3 Thư viện.
hacker_mission_2|Nhà Thông minh:\nXây 5 Nhà Tinker.
hacker_mission_3|Hack Nhà máy:\nNguyên cứu nâng cấp Đúc Mềm tại Nhà máy Luyện kim.
hacker_mission_4|Thử phát minh mới nhất của chúng tôi:\nXây một Quán Nhà máy Rượu.
hacker_mission_5|Thêm vài điều cơ bản:\nSản xuất ít nhất 20 chip máy tính mỗi ngày.
hacker_mission_6|Bữa tiệc Máy móc:\nXây 7 Hộp đêm Phế liệu.
hacker_mission_7|Hãy vui lên nữa nào!\nXây Phòng Thoát hiểm Thí nghiệm.
hacker_mission_8|Đánh giá quá cao Bình tưới nước rồi:\nNguyên cứu Tự động Quản lý Nước tại Đồn Điền Cây.
hacker_mission_9|Thay đổi Cuộc chơi:\nXây hai Sảnh Trò chơi Holo.
hacker_mission_10|Xây dựng Phát minh Tối thượng của chúng ta:\nXây Máy Chệch Hướng.
hackers_mission|Nhiệm vụ Hacker
|
herb_reduction|Thảo Mộc giảm lượng thức ăn người dân tiêu thụ đi [0]/[1]%
herb_medical_happiness|Tổng chỉ số hạnh phúc y tế: [0]/20%
change_herb_plants|Đổi Loại Thảo mộc
|
elevator_entered|Thang máy đã đến đây [0] lần.
elevator_left|Thang máy đã rời khỏi đây [0] lần.
|
crops_grown|Cây trồng đã phát triển [0]%.
food_left|Còn [0] nông sản chưa thu hoạch.
percent_cleaned|Dọn dẹp đất trồng [0]%.
|
used_as_house|Được dùng như một căn nhà.
|
transported_from|Đã vận chuyển từ đây [0] lần.
transported_to|Đã vận chuyển tới đây [0] lần.
used_as_stopover|Được dùng như trạm trung chuyển [0] lần.
change_space_ship|Đổi Tàu Vũ trụ
|
upgrade_basic_houses|Nâng cấp Nhà Cơ bản
|
manage_birth_control|Quản lý Kiểm soát Sinh sản
|
misdirected|Đã làm chệch hướng [0] lần.
|
change_exhibition|Đổi Vật Trưng bày
change_light_show|Đổi Loại Đèn
colorful|Đầy Màu Sắc
fast_red|Nhanh & Đỏ
slow_blue|Chậm & Lam
rainbow_light|Màu Cầu Vồng
romantic_pink|Lãng Mạn & Hồng
change_door_color|Đổi Màu Cửa
|
change_machines|Đổi Loại Máy
|
forever_grateful|Chúng tôi sẽ mãi mãi biết ơn.
jobs_filled_secretsociety|Cho chúng tôi người theo dõi mà chúng tôi cần:\nHãy chắc rằng đã có đủ 8 người làm việc.
secret_society_mission_0|Cải thiện Nơi ở của Chúng tôi:\nNguyên cứu Đời sống Bí mật tại Trung tâm Nguyên cứu Đời sống.
secret_society_mission_1|Tăng gia Sản xuất:\nSản xuất 1000 gỗ trong một ngày.
secret_society_mission_2|Làm xanh Thành phố:\nXây 15 Vườn Bách Thảo.
secret_society_mission_3|Trưng bày các Bức tượng:\nXây 12 Vườn Điêu Khắc.
secret_society_mission_4|Cải thiện Giao thông:\nXây bảy Máy Dịch Chuyển.
secret_society_mission_5|Nhà Giàu:\nXây năm Biệt Thự.
secret_society_mission_6|Biết Thứ Che dấu:\nThu thập ít nhất 1000 kiến thức trong một ngày.
secret_society_mission_7|Hoàn thành Dự án của Chúng tôi:\nXây Cỗ Máy.
secret_society_mission|Nhiệm vụ Xã hội Bí mật
|
change_sculptures|Đổi Tượng
dev_message|Một Lời nhắn từ Nhà phát triển
climate_crisis_message_1|Hãy đảm bảo rằng voi không chỉ là một bức tượng pixel trong thế giới nho nhỏ ở tương lai năm 2142. Khủng hoảng khí hậu là mối đe dọa lớn nhất đối với thiên nhiên hoang dã - và loài người.
see_what_you_can_do|Xem Những gì Bạn Có thể Làm
|
change_statue|Đổi Tượng
|
stone_mining_boost|Gia tăng khai thác đá hiện tại: [0]%.
stone_mining_boost_base|Đây được dựa trên số công nhân và lượng kiến thức sản xuất được trong ngày hôm qua.
fossils_found|Số hóa thạch đã tìm thấy: [0]
|
stone_left|Còn [0] đá trong tảng thiên thạch này.
waiting_for_worker_teleport|Đang đợi công nhân để bấm nút dịch chuyển...
teleporting_meteroid|Đang dịch chuyển một thiên thạch...
something_went_wrong_stone|Đã xảy ra sự cố khi đang cập nhật tảng đá.
|
teleporters_operating_cost|Chi phí hoạt động máy dịch chuyển:\n[0] kiến thức/ngày
cant_enable_teleporters|Bạn không thể bật máy dịch chuyển ngay bây giờ vì bạn không có đủ kiến thức để hoạt động máy!
disable_all_teleporters|Tắt Tất cả Máy Dịch Chuyển
keep_teleporters_disabled|Giữ cho Máy Dịch Chuyển Tiếp Tục Tắt
enable_all_teleporters|Bật Tất cả Máy Dịch Chuyển
|
today_production|Sản Lượng Hôm nay:
total_production|Tổng Sản lượng:
next_production_in_n|Sản lượng trong [0] giờ tới.
next_production_in_1|Sản lượng trong 1 giờ tới.
|
train_boarded_here|Tàu đã đến đây [0] lần.
train_alighted_here|Tàu đã rời khỏi đây [0] lần.
change_top_half_furniture|Đổi nội thất nửa trên
change_bottom_half_furniture|Đổi nội thất nửa dưới
change_trains|Đổi Tàu
|
trees_grown|Cây đã phát triển [0]%.
wood_left|Còn lại [0]/[1] gỗ.
|
workers_of|Công nhân của [0]
no_workers|Không có công nhân
workers|[0]/[1] công nhân
|
tap_near_citizen_to_follow|[Tap] gần một người dân để theo dõi họ.
|
tap|Nhấn
click|Nhấn
|
city|Thành Phố
file_description|[0] - [1] người dân
|
boost_activated|Đã Kích hoạt Gia tăng!
boost_activated_description|Tất cả sản lượng tài nguyên giờ đây sẽ gấp đôi trong một lúc! Thêm vào đó, bạn đã có thưởng thêm:
|
birth_control|Kiểm soát Sinh sản
greatly_discourage_children|Cực kỳ Can ngăn Việc có thêm Trẻ con
pop_stabilize|Dân số sẽ gần như ổn định.
encourage_contraception|Khuyến khích Tránh thai
slow_pop_growth|Dân số sẽ phát triển chậm rãi.
no_special_policy|Không có Chính sách Đặc biệt
babies_born_normal|Trẻ em sẽ được sinh ra với tỉ lệ bình thường.
encourage_parenthood|Khuyến khích Gia tăng Dân số
more_babies_born|Thêm nhiều trẻ em sẽ được sinh ra khi chỉ số hạnh phúc đủ cao.
|
you_have_enough_wood|Bạn đã đủ gỗ. Hãy xây kho đá nào!
build|Xây
back|Quay Lại
management|Quản Lý
|
already_built|Đã Xây
unique|Độc Nhất
also_unlocks_new|Ngoài ra, mở khóa thêm nhiều công trình mới.
building_a_building|Xây [0]
placing_a_decoration|Đặt [0]
planting_a_forest|Trồng [0]
|
build_anywhere|Xây bất cứ đâu trong một tòa nhà.
build_mode_insert|Chế độ Xây: Chèn
build_mode_normal_explanation|Chỉ xây ở trên mặt đất và trên cùng công trình, hoặc ở dưới tầng cao nhất. [Tap] một công trình để biết thêm thông tin và tùy chọn.
build_mode_normal|Chế độ Xây: Bình Thường
build_mode_replace_explanation|Dễ dàng thay thế công trình sẵn có.
build_mode_replace|Chế độ Xây: Thay Thế
build_mode_multi_explanation|Kéo để xây nhiều công trình cùng loại một cách nhanh chóng.
build_mode_multi|Chế độ Xây: Multi
build_mode_destroy_explanation|Phá hủy công trình một cách nhanh chóng.
build_mode_destroy|Chế độ Phá hủy
|
build_anywhere_pc|Khi bật chế độ này, bạn có thể xây bất cứ đâu trong một tòa nhà.
build_mode_insert_explanation_pc|Sau khi đã chọn một công trình để xây, nhấn vào một nơi trong tòa nhà để chèn công trình mới.
build_mode_insert_explanation_pc_b|Nhấn vào một nơi trong tòa nhà để chèn công trình mới tại đó.
